序号,电影名称,年份,地区,类型,评分,评价人数,名言
161,达拉斯买家俱乐部,2013,美国,剧情 传记 同性,8.8,320494人评价,Jared Leto的腿比女人还美！
162,萤火虫之墓,1988,日本,动画 剧情 战争,8.7,317966人评价,幸福是生生不息，却难以触及的远。 
163,真爱至上,2003,英国 美国 法国,喜剧 剧情 爱情,8.6,518786人评价,爱，是个动词。
164,荒蛮故事,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.8,293938人评价,始于荒诞，止于更荒诞。
165,贫民窟的百万富翁,2008,英国 美国,剧情 爱情,8.6,568263人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
166,东邪西毒,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,8.6,431113人评价,电影诗。
167,记忆碎片,2000,美国,犯罪 剧情 悬疑 惊悚,8.6,436377人评价,一个针管引发的血案。
168,爆裂鼓手,2014,美国,剧情 音乐,8.7,392730人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
169,你的名字。,2016,日本,剧情 爱情 动画,8.4,970973人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
170,黑天鹅,2010,美国,剧情 惊悚,8.6,629663人评价,黑暗之美。
171,花样年华,2000,中国香港,剧情 爱情,8.6,402100人评价,偷情本没有这样美。
172,哈利·波特与阿兹卡班的囚徒,2004,英国 美国,奇幻 冒险,8.7,387333人评价,不一样的导演，不一样的哈利·波特。
173,卢旺达饭店,2004,英国 南非 意大利,剧情 历史 战争,8.9,204956人评价,当这个世界闭上双眼，他却敞开了怀抱。
174,忠犬八公物语,1987,日本,剧情,9.2,130040人评价,养狗三日，便会对你终其一生。
175,黑客帝国3：矩阵革命,2003,美国 澳大利亚,动作 科幻,8.7,293525人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
176,模仿游戏,2014,英国 美国,剧情 传记 战争 同性,8.7,428333人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
177,头脑特工队,2015,美国,喜剧 动画 冒险,8.7,413620人评价,愿我们都不用长大，每一座城堡都能永远存在。
178,一个叫欧维的男人决定去死,2015,瑞典,剧情,8.8,256557人评价,惠及一生的美丽。
179,哈利·波特与密室,2002,美国 英国 德国,奇幻 冒险,8.6,406203人评价,魔法的密室之门已打开...
180,雨人,1988,美国,剧情,8.7,306195人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
181,你看起来好像很好吃,2010,日本,剧情 动画 儿童,8.9,244931人评价,感情不分食草或者食肉。
182,未麻的部屋,1997,日本,动画 奇幻 惊悚,8.9,184779人评价,好的剧本是，就算你猜到了结局也猜不到全部。
183,无敌破坏王,2012,美国,喜剧 动画 奇幻 冒险,8.7,377039人评价,迪士尼和皮克斯拿错剧本的产物。
184,恋恋笔记本,2004,美国,剧情 爱情,8.5,468979人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
185,冰川时代,2002,美国,喜剧 动画 冒险,8.6,452598人评价,松鼠才是角儿。
186,新世界,2013,韩国,剧情 犯罪,8.8,227661人评价,要做就做得狠一点，这样才能活下去。
187,海街日记,2015,日本,剧情 家庭,8.8,276426人评价,是枝裕和的家庭习作。
188,二十二,2015,中国大陆,纪录片,8.7,211089人评价,有一些东西不应该被遗忘。
189,海边的曼彻斯特,2016,美国,剧情 家庭,8.6,350266人评价,我们都有权利不与自己的过去和解。
190,虎口脱险,1966,法国 英国,喜剧 战争,8.9,168164人评价,永远看不腻的喜剧。
191,房间,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,283310人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
